iter	Passed	Remaining
0	0	336
1	1	329
2	2	322
3	3	319
4	4	316
5	4	315
6	5	315
7	6	315
8	7	315
9	8	315
10	8	315
11	9	315
12	10	314
13	11	313
14	12	313
15	13	312
16	13	312
17	14	311
18	15	311
19	16	310
20	17	310
21	18	309
22	18	308
23	19	307
24	20	307
25	21	306
26	22	306
27	22	305
28	23	305
29	24	304
30	25	303
31	26	302
32	27	302
33	27	301
34	28	300
35	29	299
36	30	299
37	31	298
38	32	297
39	32	296
40	33	295
41	34	294
42	35	294
43	36	293
44	37	292
45	37	291
46	38	291
47	39	290
48	40	289
49	41	288
50	42	287
51	42	287
52	43	286
53	44	285
54	45	284
55	46	283
56	47	282
57	47	282
58	48	281
59	49	280
60	50	279
61	51	279
62	52	278
63	52	277
64	53	276
65	54	276
66	55	275
67	56	274
68	57	273
69	57	272
70	58	272
71	59	271
72	60	270
73	61	269
74	62	268
75	62	268
76	63	267
77	64	266
78	65	265
79	66	264
80	67	264
81	67	263
82	68	262
83	69	261
84	70	260
85	71	259
86	72	259
87	72	258
88	73	257
89	74	256
90	75	255
91	76	254
92	76	254
93	77	253
94	78	252
95	79	251
96	80	250
97	81	249
98	81	249
99	82	248
100	83	247
101	84	246
102	85	245
103	86	245
104	86	244
105	87	243
106	88	242
107	89	241
108	90	240
109	91	240
110	91	239
111	92	238
112	93	237
113	94	236
114	95	236
115	96	235
116	96	234
117	97	233
118	98	232
119	99	231
120	100	231
121	101	230
122	101	229
123	102	228
124	103	227
125	104	226
126	105	226
127	106	225
128	106	224
129	107	223
130	108	222
131	109	222
132	110	221
133	111	220
134	111	219
135	112	218
136	113	218
137	114	217
138	115	216
139	116	215
140	116	214
141	117	213
142	118	213
143	119	212
144	120	211
145	121	210
146	121	209
147	122	208
148	123	208
149	124	207
150	125	206
151	126	205
152	126	204
153	127	203
154	128	203
155	129	202
156	130	201
157	130	200
158	131	199
159	132	198
160	133	198
161	134	197
162	135	196
163	135	195
164	136	194
165	137	193
166	138	193
167	139	192
168	140	191
169	140	190
170	141	189
171	142	189
172	143	188
173	144	187
174	145	186
175	145	185
176	146	184
177	147	184
178	148	183
179	149	182
180	150	181
181	150	180
182	151	179
183	152	179
184	153	178
185	154	177
186	155	176
187	155	175
188	156	174
189	157	174
190	158	173
191	159	172
192	159	171
193	160	170
194	161	169
195	162	169
196	163	168
197	164	167
198	164	166
199	165	165
200	166	164
201	167	164
202	168	163
203	169	162
204	169	161
205	170	160
206	171	159
207	172	159
208	173	158
209	174	157
210	174	156
211	175	155
212	176	155
213	177	154
214	178	153
215	179	152
216	179	151
217	180	150
218	181	150
219	182	149
220	183	148
221	184	147
222	184	146
223	185	145
224	186	145
225	187	144
226	188	143
227	189	142
228	189	141
229	190	140
230	191	140
231	192	139
232	193	138
233	194	137
234	194	136
235	195	136
236	196	135
237	197	134
238	198	133
239	198	132
240	199	131
241	200	130
242	201	130
243	202	129
244	203	128
245	203	127
246	204	126
247	205	126
248	206	125
249	207	124
250	208	123
251	208	122
252	209	121
253	210	121
254	211	120
255	212	119
256	213	118
257	213	117
258	214	116
259	215	116
260	216	115
261	217	114
262	217	113
263	218	112
264	219	111
265	220	111
266	221	110
267	222	109
268	222	108
269	223	107
270	224	106
271	225	106
272	226	105
273	227	104
274	227	103
275	228	102
276	229	101
277	230	101
278	231	100
279	232	99
280	232	98
281	233	97
282	234	96
283	235	96
284	236	95
285	236	94
286	237	93
287	238	92
288	239	91
289	240	91
290	241	90
291	241	89
292	242	88
293	243	87
294	244	86
295	245	86
296	246	85
297	246	84
298	247	83
299	248	82
300	249	82
301	250	81
302	250	80
303	251	79
304	252	78
305	253	77
306	254	77
307	255	76
308	255	75
309	256	74
310	257	73
311	258	72
312	259	72
313	260	71
314	260	70
315	261	69
316	262	68
317	263	67
318	264	67
319	264	66
320	265	65
321	266	64
322	267	63
323	268	62
324	269	62
325	269	61
326	270	60
327	271	59
328	272	58
329	273	57
330	273	57
331	274	56
332	275	55
333	276	54
334	277	53
335	278	52
336	278	52
337	279	51
338	280	50
339	281	49
340	282	48
341	282	47
342	283	47
343	284	46
344	285	45
345	286	44
346	287	43
347	287	43
348	288	42
349	289	41
350	290	40
351	291	39
352	292	38
353	292	38
354	293	37
355	294	36
356	295	35
357	296	34
358	296	33
359	297	33
360	298	32
361	299	31
362	300	30
363	301	29
364	301	28
365	302	28
366	303	27
367	304	26
368	305	25
369	306	24
370	306	23
371	307	23
372	308	22
373	309	21
374	310	20
375	310	19
376	311	19
377	312	18
378	313	17
379	314	16
380	314	15
381	315	14
382	316	14
383	317	13
384	318	12
385	319	11
386	319	10
387	320	9
388	321	9
389	322	8
390	323	7
391	323	6
392	324	5
393	325	4
394	326	4
395	327	3
396	328	2
397	328	1
398	329	0
399	330	0
